ba,nercr,transreg,transgrp,cendiv,st,interconnect,country,usda_region,h2ptcreg,hurdlereg,aggreg,gasreg
p26,WECC_NW,NorthernGrid,NorthernGrid_South,Mountain,UT,western,USA,mountain,Mountain,PacifiCorp_East,UT,Mountain
p27,WECC_SW,WestConnect,WestConnect_South,Mountain,AZ,western,USA,mountain,Southwest,Arizona_Public_Service_Co,AZ,Southwest
p28,WECC_SW,WestConnect,WestConnect_South,Mountain,AZ,western,USA,mountain,Southwest,Arizona_Public_Service_Co,AZ,Southwest
p29,WECC_SW,WestConnect,WestConnect_South,Mountain,AZ,western,USA,mountain,Southwest,Arizona_Public_Service_Co,AZ,Southwest
p30,WECC_SW,WestConnect,WestConnect_South,Mountain,AZ,western,USA,mountain,Southwest,Arizona_Public_Service_Co,AZ,Southwest
p31,WECC_SW,WestConnect,WestConnect_South,Mountain,NM,western,USA,mountain,Southwest,Public_Service_Co_of_New_Mexico,NM_WestConnect,Southwest
p32,WECC_NW,WestConnect,WestConnect_North,Mountain,SD,western,USA,northern-plains,Plains,WAPA_Rocky_Mountain_Region,SD_WestConnect,West_North_Central
p33,WECC_NW,WestConnect,WestConnect_North,Mountain,CO,western,USA,mountain,Mountain,Public_Service_Co_of_Colorado,CO,Mountain
p34,WECC_NW,WestConnect,WestConnect_North,Mountain,CO,western,USA,mountain,Mountain,Public_Service_Co_of_Colorado,CO,Mountain
p35,SPP,SPP,SPP_North,West_North_Central,MT,eastern,USA,mountain,Mountain,SPP,MT_SPP,Mountain
p36,SPP,SPP,SPP_North,West_North_Central,ND,eastern,USA,northern-plains,Plains,SPP,ND_SPP,West_North_Central
p37,MISO,MISO,MISO_North,West_North_Central,ND,eastern,USA,northern-plains,Plains,MISO,ND_MISO,West_North_Central
p38,SPP,SPP,SPP_North,West_North_Central,SD,eastern,USA,northern-plains,Plains,SPP,SD_SPP,West_North_Central
p39,SPP,SPP,SPP_North,West_North_Central,NE,eastern,USA,northern-plains,Plains,SPP,NE,West_North_Central
p40,SPP,SPP,SPP_North,West_North_Central,NE,eastern,USA,northern-plains,Plains,SPP,NE,West_North_Central
p41,SPP,SPP,SPP_North,West_North_Central,NE,eastern,USA,northern-plains,Plains,SPP,NE,West_North_Central
p42,MISO,MISO,MISO_North,West_North_Central,MN,eastern,USA,lake-states,Midwest,MISO,MN,West_North_Central
p43,MISO,MISO,MISO_North,West_North_Central,MN,eastern,USA,lake-states,Midwest,MISO,MN,West_North_Central
p44,MISO,MISO,MISO_North,West_North_Central,MN,eastern,USA,lake-states,Midwest,MISO,MN,West_North_Central
p45,MISO,MISO,MISO_North,West_North_Central,IA,eastern,USA,corn-belt,Midwest,MISO,IA,West_North_Central
p46,MISO,MISO,MISO_North,East_North_Central,WI,eastern,USA,lake-states,Midwest,MISO,WI,East_North_Central
p47,SPP,SPP,SPP_South,West_South_Central,NM,eastern,USA,mountain,Southwest,SPP,NM_SPP,Southwest
p48,SPP,SPP,SPP_South,West_South_Central,TX,eastern,USA,southern-plains,Texas,SPP,TX_SPP_N,West_South_Central
p49,SPP,SPP,SPP_South,West_South_Central,OK,eastern,USA,southern-plains,Plains,SPP,OK,West_South_Central
p50,SPP,SPP,SPP_South,West_South_Central,OK,eastern,USA,southern-plains,Plains,SPP,OK,West_South_Central
p51,SPP,SPP,SPP_South,West_South_Central,OK,eastern,USA,southern-plains,Plains,SPP,OK,West_South_Central
p52,SPP,SPP,SPP_South,West_North_Central,KS,eastern,USA,northern-plains,Plains,SPP,KS,West_North_Central
p53,SPP,SPP,SPP_South,West_North_Central,KS,eastern,USA,northern-plains,Plains,SPP,KS,West_North_Central
p54,SPP,SPP,SPP_South,West_North_Central,MO,eastern,USA,corn-belt,Midwest,SPP,MO_SPP,West_North_Central
p55,SPP,SPP,SPP_South,West_North_Central,MO,eastern,USA,corn-belt,Midwest,SPP,MO_SPP,West_North_Central
p56,SPP,SPP,SPP_South,West_South_Central,AR,eastern,USA,delta-states,Delta,SPP,AR_SPP,West_South_Central
p57,SPP,SPP,SPP_South,West_South_Central,TX,eastern,USA,southern-plains,Texas,SPP,TX_SPP_E,West_South_Central
p58,MISO,MISO,MISO_South,West_South_Central,LA,eastern,USA,delta-states,Delta,MISO,LA,West_South_Central
p59,WECC_SW,WestConnect,WestConnect_South,Mountain,TX,western,USA,southern-plains,Texas,El_Paso_Electric,TX_WestConnect,West_South_Central
p60,ERCOT,ERCOT,ERCOT,West_South_Central,TX,texas,USA,southern-plains,Texas,ERCOT,TX_W_ERCOT,West_South_Central
p61,ERCOT,ERCOT,ERCOT,West_South_Central,TX,texas,USA,southern-plains,Texas,ERCOT,TX_W_ERCOT,West_South_Central
p62,ERCOT,ERCOT,ERCOT,West_South_Central,TX,texas,USA,southern-plains,Texas,ERCOT,TX_W_ERCOT,West_South_Central
p63,ERCOT,ERCOT,ERCOT,West_South_Central,TX,texas,USA,southern-plains,Texas,ERCOT,TX_E_ERCOT,West_South_Central
p64,ERCOT,ERCOT,ERCOT,West_South_Central,TX,texas,USA,southern-plains,Texas,ERCOT,TX_E_ERCOT,West_South_Central
p65,ERCOT,ERCOT,ERCOT,West_South_Central,TX,texas,USA,southern-plains,Texas,ERCOT,TX_E_ERCOT,West_South_Central
p66,MISO,MISO,MISO_South,West_South_Central,TX,eastern,USA,southern-plains,Texas,MISO,TX_MISO,West_South_Central
p67,ERCOT,ERCOT,ERCOT,West_South_Central,TX,texas,USA,southern-plains,Texas,ERCOT,TX_E_ERCOT,West_South_Central
p68,MISO,MISO,MISO_North,West_North_Central,MN,eastern,USA,lake-states,Midwest,MISO,MN,West_North_Central
p69,MISO,MISO,MISO_North,West_North_Central,IA,eastern,USA,corn-belt,Midwest,MISO,IA,West_North_Central
p70,MISO,MISO,MISO_North,West_North_Central,IA,eastern,USA,corn-belt,Midwest,MISO,IA,West_North_Central
p71,MISO,MISO,MISO_Central,West_North_Central,MO,eastern,USA,corn-belt,Midwest,MISO,MO_MISO,West_North_Central
p72,MISO,MISO,MISO_Central,West_North_Central,MO,eastern,USA,corn-belt,Midwest,MISO,MO_MISO,West_North_Central
p73,MISO,MISO,MISO_Central,West_North_Central,MO,eastern,USA,corn-belt,Midwest,MISO,MO_MISO,West_North_Central
p74,MISO,MISO,MISO_Central,East_North_Central,MI,eastern,USA,lake-states,Midwest,MISO,MI_MISO,East_North_Central
p75,MISO,MISO,MISO_North,East_North_Central,WI,eastern,USA,lake-states,Midwest,MISO,WI,East_North_Central
p76,MISO,MISO,MISO_North,East_North_Central,WI,eastern,USA,lake-states,Midwest,MISO,WI,East_North_Central
p77,MISO,MISO,MISO_North,East_North_Central,WI,eastern,USA,lake-states,Midwest,MISO,WI,East_North_Central
p78,MISO,MISO,MISO_North,East_North_Central,WI,eastern,USA,lake-states,Midwest,MISO,WI,East_North_Central
p79,MISO,MISO,MISO_North,East_North_Central,WI,eastern,USA,lake-states,Midwest,MISO,WI,East_North_Central
p80,PJM,PJM,PJM_West,East_North_Central,IL,eastern,USA,corn-belt,Midwest,PJM,IL_PJM,East_North_Central
p81,MISO,MISO,MISO_Central,East_North_Central,IL,eastern,USA,corn-belt,Midwest,MISO,IL_MISO,East_North_Central
p82,MISO,MISO,MISO_Central,East_North_Central,IL,eastern,USA,corn-belt,Midwest,MISO,IL_MISO,East_North_Central
p83,MISO,MISO,MISO_Central,East_North_Central,IL,eastern,USA,corn-belt,Midwest,MISO,IL_MISO,East_North_Central
p84,MISO,MISO,MISO_Central,West_North_Central,MO,eastern,USA,corn-belt,Midwest,MISO,MO_MISO,West_North_Central
p85,MISO,MISO,MISO_South,West_South_Central,AR,eastern,USA,delta-states,Delta,MISO,AR_MISO,West_South_Central
p86,MISO,MISO,MISO_South,West_South_Central,LA,eastern,USA,delta-states,Delta,MISO,LA,West_South_Central
p87,MISO,MISO,MISO_South,East_South_Central,MS,eastern,USA,delta-states,Delta,MISO,MS_MISO,East_South_Central
p88,SERC_C,SERTP,SERTP,East_South_Central,MS,eastern,USA,delta-states,Delta,Tennessee_Valley_Authority,MS_SERTP,East_South_Central
p89,SERC_SE,SERTP,SERTP,East_South_Central,AL,eastern,USA,southeast,Southeast,PowerSouth_Energy_Coop,AL,East_South_Central
p90,SERC_SE,SERTP,SERTP,East_South_Central,AL,eastern,USA,southeast,Southeast,PowerSouth_Energy_Coop,AL,East_South_Central
p91,SERC_SE,SERTP,SERTP,South_Atlantic,FL,eastern,USA,southeast,Florida,Southern_Co_Services_Inc,FL_SERTP,South_Atlantic
p92,SERC_C,SERTP,SERTP,East_South_Central,TN,eastern,USA,appalachia,Southeast,Tennessee_Valley_Authority,TN,East_South_Central
p93,SERC_C,SERTP,SERTP,East_South_Central,KY,eastern,USA,appalachia,MidAtlantic,Tennessee_Valley_Authority,KY_SERTP,East_South_Central
p94,SERC_SE,SERTP,SERTP,South_Atlantic,GA,eastern,USA,southeast,Southeast,Southern_Co_Services_Inc,GA,South_Atlantic
p95,SERC_E,SERTP,SERTP,South_Atlantic,SC,eastern,USA,southeast,Southeast,South_Carolina_Electric_Gas_Co,SC,South_Atlantic
p96,SERC_E,SERTP,SERTP,South_Atlantic,SC,eastern,USA,southeast,Southeast,South_Carolina_Electric_Gas_Co,SC,South_Atlantic
p97,SERC_E,SERTP,SERTP,South_Atlantic,NC,eastern,USA,appalachia,Southeast,Duke_Energy_Carolinas_LLC,NC,South_Atlantic
p98,SERC_E,SERTP,SERTP,South_Atlantic,NC,eastern,USA,appalachia,Southeast,Duke_Energy_Carolinas_LLC,NC,South_Atlantic
p99,PJM,PJM,PJM_East,South_Atlantic,VA,eastern,USA,appalachia,MidAtlantic,PJM,VA,South_Atlantic
p100,PJM,PJM,PJM_East,South_Atlantic,VA,eastern,USA,appalachia,MidAtlantic,PJM,VA,South_Atlantic
p101,SERC_F,FRCC,FRCC,South_Atlantic,FL,eastern,USA,southeast,Florida,Seminole_Electric_Coop_Inc,FL_FRCC,South_Atlantic
p102,SERC_F,FRCC,FRCC,South_Atlantic,FL,eastern,USA,southeast,Florida,Seminole_Electric_Coop_Inc,FL_FRCC,South_Atlantic
p103,MISO,MISO,MISO_Central,East_North_Central,MI,eastern,USA,lake-states,Midwest,MISO,MI_MISO,East_North_Central
p104,PJM,PJM,PJM_West,East_North_Central,MI,eastern,USA,lake-states,Midwest,PJM,MI_PJM,East_North_Central
p105,MISO,MISO,MISO_Central,East_North_Central,IN,eastern,USA,corn-belt,Midwest,MISO,IN,East_North_Central
p106,MISO,MISO,MISO_Central,East_North_Central,IN,eastern,USA,corn-belt,Midwest,MISO,IN,East_North_Central
p107,MISO,MISO,MISO_Central,East_North_Central,IN,eastern,USA,corn-belt,Midwest,MISO,IN,East_North_Central
p108,MISO,MISO,MISO_Central,East_South_Central,KY,eastern,USA,appalachia,MidAtlantic,MISO,KY_MISO,East_South_Central
p109,PJM,PJM,PJM_East,East_South_Central,KY,eastern,USA,appalachia,MidAtlantic,PJM,KY_PJM,East_South_Central
p110,PJM,PJM,PJM_East,East_South_Central,KY,eastern,USA,appalachia,MidAtlantic,PJM,KY_PJM,East_South_Central
p111,PJM,PJM,PJM_East,East_North_Central,OH,eastern,USA,corn-belt,MidAtlantic,PJM,OH,East_North_Central
p112,PJM,PJM,PJM_East,East_North_Central,OH,eastern,USA,corn-belt,MidAtlantic,PJM,OH,East_North_Central
p113,PJM,PJM,PJM_East,East_North_Central,OH,eastern,USA,corn-belt,MidAtlantic,PJM,OH,East_North_Central
p114,PJM,PJM,PJM_East,East_North_Central,OH,eastern,USA,corn-belt,MidAtlantic,PJM,OH,East_North_Central
p115,PJM,PJM,PJM_East,Mid_Atlantic,PA,eastern,USA,northeast,MidAtlantic,PJM,PA,Mid_Atlantic
p116,PJM,PJM,PJM_East,South_Atlantic,WV,eastern,USA,appalachia,MidAtlantic,PJM,WV,South_Atlantic
p117,PJM,PJM,PJM_East,South_Atlantic,WV,eastern,USA,appalachia,MidAtlantic,PJM,WV,South_Atlantic
p118,PJM,PJM,PJM_East,South_Atlantic,VA,eastern,USA,appalachia,MidAtlantic,PJM,VA,South_Atlantic
p119,PJM,PJM,PJM_East,Mid_Atlantic,PA,eastern,USA,northeast,MidAtlantic,PJM,PA,Mid_Atlantic
p120,PJM,PJM,PJM_East,Mid_Atlantic,PA,eastern,USA,northeast,MidAtlantic,PJM,PA,Mid_Atlantic
p121,PJM,PJM,PJM_East,South_Atlantic,MD,eastern,USA,northeast,MidAtlantic,PJM,MD,South_Atlantic
p122,PJM,PJM,PJM_East,Mid_Atlantic,PA,eastern,USA,northeast,MidAtlantic,PJM,PA,Mid_Atlantic
p123,PJM,PJM,PJM_East,South_Atlantic,MD,eastern,USA,northeast,MidAtlantic,PJM,MD,South_Atlantic
p124,PJM,PJM,PJM_East,South_Atlantic,VA,eastern,USA,appalachia,MidAtlantic,PJM,VA,South_Atlantic
p125,PJM,PJM,PJM_East,South_Atlantic,DE,eastern,USA,northeast,MidAtlantic,PJM,DE,South_Atlantic
p126,PJM,PJM,PJM_East,Mid_Atlantic,NJ,eastern,USA,northeast,MidAtlantic,PJM,NJ,Mid_Atlantic
p127,NPCC_NY,NYISO,NYISO,Mid_Atlantic,NY,eastern,USA,northeast,NewYork,NYISO,NY_UP,Mid_Atlantic
p128,NPCC_NY,NYISO,NYISO,Mid_Atlantic,NY,eastern,USA,northeast,NewYork,NYISO,NY_NYCLI,Mid_Atlantic
p129,NPCC_NE,ISONE,ISONE,New_England,VT,eastern,USA,northeast,NewEngland,ISONE,VT,New_England
p130,NPCC_NE,ISONE,ISONE,New_England,NH,eastern,USA,northeast,NewEngland,ISONE,NH,New_England
p131,NPCC_NE,ISONE,ISONE,New_England,MA,eastern,USA,northeast,NewEngland,ISONE,MA,New_England
p132,NPCC_NE,ISONE,ISONE,New_England,CT,eastern,USA,northeast,NewEngland,ISONE,CT,New_England
p133,NPCC_NE,ISONE,ISONE,New_England,RI,eastern,USA,northeast,NewEngland,ISONE,RI,New_England
p134,NPCC_NE,ISONE,ISONE,New_England,ME,eastern,USA,northeast,NewEngland,ISONE,ME,New_England
