*r,rtscbin,sc_cat,value
p53019,bin1,cost,65
p53019,bin1,cap,1000
p53019,bin2,cost,200
p53019,bin2,cap,2000
p53019,bin3,cost,2000
p53019,bin3,cap,20000
p53021,bin1,cost,65
p53021,bin1,cap,1000
p53021,bin2,cost,200
p53021,bin2,cap,2000
p53021,bin3,cost,2000
p53021,bin3,cap,20000
p53043,bin1,cost,65
p53043,bin1,cap,1000
p53043,bin2,cost,200
p53043,bin2,cap,2000
p53043,bin3,cost,2000
p53043,bin3,cap,20000
p53047,bin1,cost,65
p53047,bin1,cap,1000
p53047,bin2,cost,200
p53047,bin2,cap,2000
p53047,bin3,cost,2000
p53047,bin3,cap,20000
p53051,bin1,cost,65
p53051,bin1,cap,1000
p53051,bin2,cost,200
p53051,bin2,cap,2000
p53051,bin3,cost,2000
p53051,bin3,cap,20000
p53063,bin1,cost,65
p53063,bin1,cap,1000
p53063,bin2,cost,200
p53063,bin2,cap,2000
p53063,bin3,cost,2000
p53063,bin3,cap,20000
p53065,bin1,cost,65
p53065,bin1,cap,1000
p53065,bin2,cost,200
p53065,bin2,cap,2000
p53065,bin3,cost,2000
p53065,bin3,cap,20000
p53075,bin1,cost,65
p53075,bin1,cap,1000
p53075,bin2,cost,200
p53075,bin2,cap,2000
p53075,bin3,cost,2000
p53075,bin3,cap,20000
p53017,bin1,cost,65
p53017,bin1,cap,1000
p53017,bin2,cost,200
p53017,bin2,cap,2000
p53017,bin3,cost,2000
p53017,bin3,cap,20000
p53025,bin1,cost,65
p53025,bin1,cap,1000
p53025,bin2,cost,200
p53025,bin2,cap,2000
p53025,bin3,cost,2000
p53025,bin3,cap,20000
p41003,bin1,cost,65
p41003,bin1,cap,1000
p41003,bin2,cost,200
p41003,bin2,cap,2000
p41003,bin3,cost,2000
p41003,bin3,cap,20000
p41005,bin1,cost,65
p41005,bin1,cap,1000
p41005,bin2,cost,200
p41005,bin2,cap,2000
p41005,bin3,cost,2000
p41005,bin3,cap,20000
p41007,bin1,cost,65
p41007,bin1,cap,1000
p41007,bin2,cost,200
p41007,bin2,cap,2000
p41007,bin3,cost,2000
p41007,bin3,cap,20000
p41009,bin1,cost,65
p41009,bin1,cap,1000
p41009,bin2,cost,200
p41009,bin2,cap,2000
p41009,bin3,cost,2000
p41009,bin3,cap,20000
p41013,bin1,cost,65
p41013,bin1,cap,1000
p41013,bin2,cost,200
p41013,bin2,cap,2000
p41013,bin3,cost,2000
p41013,bin3,cap,20000
p41017,bin1,cost,65
p41017,bin1,cap,1000
p41017,bin2,cost,200
p41017,bin2,cap,2000
p41017,bin3,cost,2000
p41017,bin3,cap,20000
p41021,bin1,cost,65
p41021,bin1,cap,1000
p41021,bin2,cost,200
p41021,bin2,cap,2000
p41021,bin3,cost,2000
p41021,bin3,cap,20000
p41023,bin1,cost,65
p41023,bin1,cap,1000
p41023,bin2,cost,200
p41023,bin2,cap,2000
p41023,bin3,cost,2000
p41023,bin3,cap,20000
p41027,bin1,cost,65
p41027,bin1,cap,1000
p41027,bin2,cost,200
p41027,bin2,cap,2000
p41027,bin3,cost,2000
p41027,bin3,cap,20000
p41031,bin1,cost,65
p41031,bin1,cap,1000
p41031,bin2,cost,200
p41031,bin2,cap,2000
p41031,bin3,cost,2000
p41031,bin3,cap,20000
p41039,bin1,cost,65
p41039,bin1,cap,1000
p41039,bin2,cost,200
p41039,bin2,cap,2000
p41039,bin3,cost,2000
p41039,bin3,cap,20000
p41041,bin1,cost,65
p41041,bin1,cap,1000
p41041,bin2,cost,200
p41041,bin2,cap,2000
p41041,bin3,cost,2000
p41041,bin3,cap,20000
p41043,bin1,cost,65
p41043,bin1,cap,1000
p41043,bin2,cost,200
p41043,bin2,cap,2000
p41043,bin3,cost,2000
p41043,bin3,cap,20000
p41047,bin1,cost,65
p41047,bin1,cap,1000
p41047,bin2,cost,200
p41047,bin2,cap,2000
p41047,bin3,cost,2000
p41047,bin3,cap,20000
p41049,bin1,cost,65
p41049,bin1,cap,1000
p41049,bin2,cost,200
p41049,bin2,cap,2000
p41049,bin3,cost,2000
p41049,bin3,cap,20000
p41051,bin1,cost,65
p41051,bin1,cap,1000
p41051,bin2,cost,200
p41051,bin2,cap,2000
p41051,bin3,cost,2000
p41051,bin3,cap,20000
p41053,bin1,cost,65
p41053,bin1,cap,1000
p41053,bin2,cost,200
p41053,bin2,cap,2000
p41053,bin3,cost,2000
p41053,bin3,cap,20000
p41055,bin1,cost,65
p41055,bin1,cap,1000
p41055,bin2,cost,200
p41055,bin2,cap,2000
p41055,bin3,cost,2000
p41055,bin3,cap,20000
p41057,bin1,cost,65
p41057,bin1,cap,1000
p41057,bin2,cost,200
p41057,bin2,cap,2000
p41057,bin3,cost,2000
p41057,bin3,cap,20000
p41059,bin1,cost,65
p41059,bin1,cap,1000
p41059,bin2,cost,200
p41059,bin2,cap,2000
p41059,bin3,cost,2000
p41059,bin3,cap,20000
p41061,bin1,cost,65
p41061,bin1,cap,1000
p41061,bin2,cost,200
p41061,bin2,cap,2000
p41061,bin3,cost,2000
p41061,bin3,cap,20000
p41063,bin1,cost,65
p41063,bin1,cap,1000
p41063,bin2,cost,200
p41063,bin2,cap,2000
p41063,bin3,cost,2000
p41063,bin3,cap,20000
p41065,bin1,cost,65
p41065,bin1,cap,1000
p41065,bin2,cost,200
p41065,bin2,cap,2000
p41065,bin3,cost,2000
p41065,bin3,cap,20000
p41067,bin1,cost,65
p41067,bin1,cap,1000
p41067,bin2,cost,200
p41067,bin2,cap,2000
p41067,bin3,cost,2000
p41067,bin3,cap,20000
p41069,bin1,cost,65
p41069,bin1,cap,1000
p41069,bin2,cost,200
p41069,bin2,cap,2000
p41069,bin3,cost,2000
p41069,bin3,cap,20000
p41071,bin1,cost,65
p41071,bin1,cap,1000
p41071,bin2,cost,200
p41071,bin2,cap,2000
p41071,bin3,cost,2000
p41071,bin3,cap,20000
p41011,bin1,cost,65
p41011,bin1,cap,1000
p41011,bin2,cost,200
p41011,bin2,cap,2000
p41011,bin3,cost,2000
p41011,bin3,cap,20000
p41015,bin1,cost,65
p41015,bin1,cap,1000
p41015,bin2,cost,200
p41015,bin2,cap,2000
p41015,bin3,cost,2000
p41015,bin3,cap,20000
p41019,bin1,cost,65
p41019,bin1,cap,1000
p41019,bin2,cost,200
p41019,bin2,cap,2000
p41019,bin3,cost,2000
p41019,bin3,cap,20000
p41029,bin1,cost,65
p41029,bin1,cap,1000
p41029,bin2,cost,200
p41029,bin2,cap,2000
p41029,bin3,cost,2000
p41029,bin3,cap,20000
p41033,bin1,cost,65
p41033,bin1,cap,1000
p41033,bin2,cost,200
p41033,bin2,cap,2000
p41033,bin3,cost,2000
p41033,bin3,cap,20000
p41035,bin1,cost,65
p41035,bin1,cap,1000
p41035,bin2,cost,200
p41035,bin2,cap,2000
p41035,bin3,cost,2000
p41035,bin3,cap,20000
p41001,bin1,cost,65
p41001,bin1,cap,1000
p41001,bin2,cost,200
p41001,bin2,cap,2000
p41001,bin3,cost,2000
p41001,bin3,cap,20000
p41025,bin1,cost,65
p41025,bin1,cap,1000
p41025,bin2,cost,200
p41025,bin2,cap,2000
p41025,bin3,cost,2000
p41025,bin3,cap,20000
p41037,bin1,cost,65
p41037,bin1,cap,1000
p41037,bin2,cost,200
p41037,bin2,cap,2000
p41037,bin3,cost,2000
p41037,bin3,cap,20000
p41045,bin1,cost,65
p41045,bin1,cap,1000
p41045,bin2,cost,200
p41045,bin2,cap,2000
p41045,bin3,cost,2000
p41045,bin3,cap,20000
p06035,bin1,cost,65
p06035,bin1,cap,1000
p06035,bin2,cost,200
p06035,bin2,cap,2000
p06035,bin3,cost,2000
p06035,bin3,cap,20000
p06049,bin1,cost,65
p06049,bin1,cap,1000
p06049,bin2,cost,200
p06049,bin2,cap,2000
p06049,bin3,cost,2000
p06049,bin3,cap,20000
p06093,bin1,cost,65
p06093,bin1,cap,1000
p06093,bin2,cost,200
p06093,bin2,cap,2000
p06093,bin3,cost,2000
p06093,bin3,cap,20000
p06001,bin1,cost,65
p06001,bin1,cap,1000
p06001,bin2,cost,200
p06001,bin2,cap,2000
p06001,bin3,cost,2000
p06001,bin3,cap,20000
p06003,bin1,cost,65
p06003,bin1,cap,1000
p06003,bin2,cost,200
p06003,bin2,cap,2000
p06003,bin3,cost,2000
p06003,bin3,cap,20000
p06005,bin1,cost,65
p06005,bin1,cap,1000
p06005,bin2,cost,200
p06005,bin2,cap,2000
p06005,bin3,cost,2000
p06005,bin3,cap,20000
p06007,bin1,cost,65
p06007,bin1,cap,1000
p06007,bin2,cost,200
p06007,bin2,cap,2000
p06007,bin3,cost,2000
p06007,bin3,cap,20000
p06009,bin1,cost,65
p06009,bin1,cap,1000
p06009,bin2,cost,200
p06009,bin2,cap,2000
p06009,bin3,cost,2000
p06009,bin3,cap,20000
p06011,bin1,cost,65
p06011,bin1,cap,1000
p06011,bin2,cost,200
p06011,bin2,cap,2000
p06011,bin3,cost,2000
p06011,bin3,cap,20000
p06013,bin1,cost,65
p06013,bin1,cap,1000
p06013,bin2,cost,200
p06013,bin2,cap,2000
p06013,bin3,cost,2000
p06013,bin3,cap,20000
p06015,bin1,cost,65
p06015,bin1,cap,1000
p06015,bin2,cost,200
p06015,bin2,cap,2000
p06015,bin3,cost,2000
p06015,bin3,cap,20000
p06017,bin1,cost,65
p06017,bin1,cap,1000
p06017,bin2,cost,200
p06017,bin2,cap,2000
p06017,bin3,cost,2000
p06017,bin3,cap,20000
p06019,bin1,cost,65
p06019,bin1,cap,1000
p06019,bin2,cost,200
p06019,bin2,cap,2000
p06019,bin3,cost,2000
p06019,bin3,cap,20000
p06021,bin1,cost,65
p06021,bin1,cap,1000
p06021,bin2,cost,200
p06021,bin2,cap,2000
p06021,bin3,cost,2000
p06021,bin3,cap,20000
p06023,bin1,cost,65
p06023,bin1,cap,1000
p06023,bin2,cost,200
p06023,bin2,cap,2000
p06023,bin3,cost,2000
p06023,bin3,cap,20000
p06031,bin1,cost,65
p06031,bin1,cap,1000
p06031,bin2,cost,200
p06031,bin2,cap,2000
p06031,bin3,cost,2000
p06031,bin3,cap,20000
p06033,bin1,cost,65
p06033,bin1,cap,1000
p06033,bin2,cost,200
p06033,bin2,cap,2000
p06033,bin3,cost,2000
p06033,bin3,cap,20000
p06039,bin1,cost,65
p06039,bin1,cap,1000
p06039,bin2,cost,200
p06039,bin2,cap,2000
p06039,bin3,cost,2000
p06039,bin3,cap,20000
p06041,bin1,cost,65
p06041,bin1,cap,1000
p06041,bin2,cost,200
p06041,bin2,cap,2000
p06041,bin3,cost,2000
p06041,bin3,cap,20000
p06043,bin1,cost,65
p06043,bin1,cap,1000
p06043,bin2,cost,200
p06043,bin2,cap,2000
p06043,bin3,cost,2000
p06043,bin3,cap,20000
p06045,bin1,cost,65
p06045,bin1,cap,1000
p06045,bin2,cost,200
p06045,bin2,cap,2000
p06045,bin3,cost,2000
p06045,bin3,cap,20000
p06047,bin1,cost,65
p06047,bin1,cap,1000
p06047,bin2,cost,200
p06047,bin2,cap,2000
p06047,bin3,cost,2000
p06047,bin3,cap,20000
p06053,bin1,cost,65
p06053,bin1,cap,1000
p06053,bin2,cost,200
p06053,bin2,cap,2000
p06053,bin3,cost,2000
p06053,bin3,cap,20000
p06055,bin1,cost,65
p06055,bin1,cap,1000
p06055,bin2,cost,200
p06055,bin2,cap,2000
p06055,bin3,cost,2000
p06055,bin3,cap,20000
p06057,bin1,cost,65
p06057,bin1,cap,1000
p06057,bin2,cost,200
p06057,bin2,cap,2000
p06057,bin3,cost,2000
p06057,bin3,cap,20000
p06061,bin1,cost,65
p06061,bin1,cap,1000
p06061,bin2,cost,200
p06061,bin2,cap,2000
p06061,bin3,cost,2000
p06061,bin3,cap,20000
p06063,bin1,cost,65
p06063,bin1,cap,1000
p06063,bin2,cost,200
p06063,bin2,cap,2000
p06063,bin3,cost,2000
p06063,bin3,cap,20000
p06067,bin1,cost,65
p06067,bin1,cap,1000
p06067,bin2,cost,200
p06067,bin2,cap,2000
p06067,bin3,cost,2000
p06067,bin3,cap,20000
p06069,bin1,cost,65
p06069,bin1,cap,1000
p06069,bin2,cost,200
p06069,bin2,cap,2000
p06069,bin3,cost,2000
p06069,bin3,cap,20000
p06075,bin1,cost,65
p06075,bin1,cap,1000
p06075,bin2,cost,200
p06075,bin2,cap,2000
p06075,bin3,cost,2000
p06075,bin3,cap,20000
p06077,bin1,cost,65
p06077,bin1,cap,1000
p06077,bin2,cost,200
p06077,bin2,cap,2000
p06077,bin3,cost,2000
p06077,bin3,cap,20000
p06079,bin1,cost,65
p06079,bin1,cap,1000
p06079,bin2,cost,200
p06079,bin2,cap,2000
p06079,bin3,cost,2000
p06079,bin3,cap,20000
p06081,bin1,cost,65
p06081,bin1,cap,1000
p06081,bin2,cost,200
p06081,bin2,cap,2000
p06081,bin3,cost,2000
p06081,bin3,cap,20000
p06083,bin1,cost,65
p06083,bin1,cap,1000
p06083,bin2,cost,200
p06083,bin2,cap,2000
p06083,bin3,cost,2000
p06083,bin3,cap,20000
p06085,bin1,cost,65
p06085,bin1,cap,1000
p06085,bin2,cost,200
p06085,bin2,cap,2000
p06085,bin3,cost,2000
p06085,bin3,cap,20000
p06087,bin1,cost,65
p06087,bin1,cap,1000
p06087,bin2,cost,200
p06087,bin2,cap,2000
p06087,bin3,cost,2000
p06087,bin3,cap,20000
p06089,bin1,cost,65
p06089,bin1,cap,1000
p06089,bin2,cost,200
p06089,bin2,cap,2000
p06089,bin3,cost,2000
p06089,bin3,cap,20000
p06091,bin1,cost,65
p06091,bin1,cap,1000
p06091,bin2,cost,200
p06091,bin2,cap,2000
p06091,bin3,cost,2000
p06091,bin3,cap,20000
p06095,bin1,cost,65
p06095,bin1,cap,1000
p06095,bin2,cost,200
p06095,bin2,cap,2000
p06095,bin3,cost,2000
p06095,bin3,cap,20000
p06097,bin1,cost,65
p06097,bin1,cap,1000
p06097,bin2,cost,200
p06097,bin2,cap,2000
p06097,bin3,cost,2000
p06097,bin3,cap,20000
p06099,bin1,cost,65
p06099,bin1,cap,1000
p06099,bin2,cost,200
p06099,bin2,cap,2000
p06099,bin3,cost,2000
p06099,bin3,cap,20000
p06101,bin1,cost,65
p06101,bin1,cap,1000
p06101,bin2,cost,200
p06101,bin2,cap,2000
p06101,bin3,cost,2000
p06101,bin3,cap,20000
p06103,bin1,cost,65
p06103,bin1,cap,1000
p06103,bin2,cost,200
p06103,bin2,cap,2000
p06103,bin3,cost,2000
p06103,bin3,cap,20000
p06105,bin1,cost,65
p06105,bin1,cap,1000
p06105,bin2,cost,200
p06105,bin2,cap,2000
p06105,bin3,cost,2000
p06105,bin3,cap,20000
p06109,bin1,cost,65
p06109,bin1,cap,1000
p06109,bin2,cost,200
p06109,bin2,cap,2000
p06109,bin3,cost,2000
p06109,bin3,cap,20000
p06113,bin1,cost,65
p06113,bin1,cap,1000
p06113,bin2,cost,200
p06113,bin2,cap,2000
p06113,bin3,cost,2000
p06113,bin3,cap,20000
p06115,bin1,cost,65
p06115,bin1,cap,1000
p06115,bin2,cost,200
p06115,bin2,cap,2000
p06115,bin3,cost,2000
p06115,bin3,cap,20000
p06025,bin1,cost,65
p06025,bin1,cap,1000
p06025,bin2,cost,200
p06025,bin2,cap,2000
p06025,bin3,cost,2000
p06025,bin3,cap,20000
p06027,bin1,cost,65
p06027,bin1,cap,1000
p06027,bin2,cost,200
p06027,bin2,cap,2000
p06027,bin3,cost,2000
p06027,bin3,cap,20000
p06029,bin1,cost,65
p06029,bin1,cap,1000
p06029,bin2,cost,200
p06029,bin2,cap,2000
p06029,bin3,cost,2000
p06029,bin3,cap,20000
p06037,bin1,cost,65
p06037,bin1,cap,1000
p06037,bin2,cost,200
p06037,bin2,cap,2000
p06037,bin3,cost,2000
p06037,bin3,cap,20000
p06051,bin1,cost,65
p06051,bin1,cap,1000
p06051,bin2,cost,200
p06051,bin2,cap,2000
p06051,bin3,cost,2000
p06051,bin3,cap,20000
p06059,bin1,cost,65
p06059,bin1,cap,1000
p06059,bin2,cost,200
p06059,bin2,cap,2000
p06059,bin3,cost,2000
p06059,bin3,cap,20000
p06065,bin1,cost,65
p06065,bin1,cap,1000
p06065,bin2,cost,200
p06065,bin2,cap,2000
p06065,bin3,cost,2000
p06065,bin3,cap,20000
p06071,bin1,cost,65
p06071,bin1,cap,1000
p06071,bin2,cost,200
p06071,bin2,cap,2000
p06071,bin3,cost,2000
p06071,bin3,cap,20000
p06107,bin1,cost,65
p06107,bin1,cap,1000
p06107,bin2,cost,200
p06107,bin2,cap,2000
p06107,bin3,cost,2000
p06107,bin3,cap,20000
p06111,bin1,cost,65
p06111,bin1,cap,1000
p06111,bin2,cost,200
p06111,bin2,cap,2000
p06111,bin3,cost,2000
p06111,bin3,cap,20000
p06073,bin1,cost,65
p06073,bin1,cap,1000
p06073,bin2,cost,200
p06073,bin2,cap,2000
p06073,bin3,cost,2000
p06073,bin3,cap,20000
p32001,bin1,cost,65
p32001,bin1,cap,1000
p32001,bin2,cost,200
p32001,bin2,cap,2000
p32001,bin3,cost,2000
p32001,bin3,cap,20000
p32005,bin1,cost,65
p32005,bin1,cap,1000
p32005,bin2,cost,200
p32005,bin2,cap,2000
p32005,bin3,cost,2000
p32005,bin3,cap,20000
p32007,bin1,cost,65
p32007,bin1,cap,1000
p32007,bin2,cost,200
p32007,bin2,cap,2000
p32007,bin3,cost,2000
p32007,bin3,cap,20000
p32009,bin1,cost,65
p32009,bin1,cap,1000
p32009,bin2,cost,200
p32009,bin2,cap,2000
p32009,bin3,cost,2000
p32009,bin3,cap,20000
p32011,bin1,cost,65
p32011,bin1,cap,1000
p32011,bin2,cost,200
p32011,bin2,cap,2000
p32011,bin3,cost,2000
p32011,bin3,cap,20000
p32013,bin1,cost,65
p32013,bin1,cap,1000
p32013,bin2,cost,200
p32013,bin2,cap,2000
p32013,bin3,cost,2000
p32013,bin3,cap,20000
p32015,bin1,cost,65
p32015,bin1,cap,1000
p32015,bin2,cost,200
p32015,bin2,cap,2000
p32015,bin3,cost,2000
p32015,bin3,cap,20000
p32017,bin1,cost,65
p32017,bin1,cap,1000
p32017,bin2,cost,200
p32017,bin2,cap,2000
p32017,bin3,cost,2000
p32017,bin3,cap,20000
p32019,bin1,cost,65
p32019,bin1,cap,1000
p32019,bin2,cost,200
p32019,bin2,cap,2000
p32019,bin3,cost,2000
p32019,bin3,cap,20000
p32021,bin1,cost,65
p32021,bin1,cap,1000
p32021,bin2,cost,200
p32021,bin2,cap,2000
p32021,bin3,cost,2000
p32021,bin3,cap,20000
p32023,bin1,cost,65
p32023,bin1,cap,1000
p32023,bin2,cost,200
p32023,bin2,cap,2000
p32023,bin3,cost,2000
p32023,bin3,cap,20000
p32027,bin1,cost,65
p32027,bin1,cap,1000
p32027,bin2,cost,200
p32027,bin2,cap,2000
p32027,bin3,cost,2000
p32027,bin3,cap,20000
p32029,bin1,cost,65
p32029,bin1,cap,1000
p32029,bin2,cost,200
p32029,bin2,cap,2000
p32029,bin3,cost,2000
p32029,bin3,cap,20000
p32031,bin1,cost,65
p32031,bin1,cap,1000
p32031,bin2,cost,200
p32031,bin2,cap,2000
p32031,bin3,cost,2000
p32031,bin3,cap,20000
p32033,bin1,cost,65
p32033,bin1,cap,1000
p32033,bin2,cost,200
p32033,bin2,cap,2000
p32033,bin3,cost,2000
p32033,bin3,cap,20000
p32510,bin1,cost,65
p32510,bin1,cap,1000
p32510,bin2,cost,200
p32510,bin2,cap,2000
p32510,bin3,cost,2000
p32510,bin3,cap,20000
p32003,bin1,cost,65
p32003,bin1,cap,1000
p32003,bin2,cost,200
p32003,bin2,cap,2000
p32003,bin3,cost,2000
p32003,bin3,cap,20000
p16009,bin1,cost,65
p16009,bin1,cap,1000
p16009,bin2,cost,200
p16009,bin2,cap,2000
p16009,bin3,cost,2000
p16009,bin3,cap,20000
p16017,bin1,cost,65
p16017,bin1,cap,1000
p16017,bin2,cost,200
p16017,bin2,cap,2000
p16017,bin3,cost,2000
p16017,bin3,cap,20000
p16021,bin1,cost,65
p16021,bin1,cap,1000
p16021,bin2,cost,200
p16021,bin2,cap,2000
p16021,bin3,cost,2000
p16021,bin3,cap,20000
p16055,bin1,cost,65
p16055,bin1,cap,1000
p16055,bin2,cost,200
p16055,bin2,cap,2000
p16055,bin3,cost,2000
p16055,bin3,cap,20000
p16057,bin1,cost,65
p16057,bin1,cap,1000
p16057,bin2,cost,200
p16057,bin2,cap,2000
p16057,bin3,cost,2000
p16057,bin3,cap,20000
p16061,bin1,cost,65
p16061,bin1,cap,1000
p16061,bin2,cost,200
p16061,bin2,cap,2000
p16061,bin3,cost,2000
p16061,bin3,cap,20000
p16069,bin1,cost,65
p16069,bin1,cap,1000
p16069,bin2,cost,200
p16069,bin2,cap,2000
p16069,bin3,cost,2000
p16069,bin3,cap,20000
p16001,bin1,cost,65
p16001,bin1,cap,1000
p16001,bin2,cost,200
p16001,bin2,cap,2000
p16001,bin3,cost,2000
p16001,bin3,cap,20000
p16003,bin1,cost,65
p16003,bin1,cap,1000
p16003,bin2,cost,200
p16003,bin2,cap,2000
p16003,bin3,cost,2000
p16003,bin3,cap,20000
p16013,bin1,cost,65
p16013,bin1,cap,1000
p16013,bin2,cost,200
p16013,bin2,cap,2000
p16013,bin3,cost,2000
p16013,bin3,cap,20000
p16015,bin1,cost,65
p16015,bin1,cap,1000
p16015,bin2,cost,200
p16015,bin2,cap,2000
p16015,bin3,cost,2000
p16015,bin3,cap,20000
p16023,bin1,cost,65
p16023,bin1,cap,1000
p16023,bin2,cost,200
p16023,bin2,cap,2000
p16023,bin3,cost,2000
p16023,bin3,cap,20000
p16025,bin1,cost,65
p16025,bin1,cap,1000
p16025,bin2,cost,200
p16025,bin2,cap,2000
p16025,bin3,cost,2000
p16025,bin3,cap,20000
p16027,bin1,cost,65
p16027,bin1,cap,1000
p16027,bin2,cost,200
p16027,bin2,cap,2000
p16027,bin3,cost,2000
p16027,bin3,cap,20000
p16035,bin1,cost,65
p16035,bin1,cap,1000
p16035,bin2,cost,200
p16035,bin2,cap,2000
p16035,bin3,cost,2000
p16035,bin3,cap,20000
p16037,bin1,cost,65
p16037,bin1,cap,1000
p16037,bin2,cost,200
p16037,bin2,cap,2000
p16037,bin3,cost,2000
p16037,bin3,cap,20000
p16039,bin1,cost,65
p16039,bin1,cap,1000
p16039,bin2,cost,200
p16039,bin2,cap,2000
p16039,bin3,cost,2000
p16039,bin3,cap,20000
p16045,bin1,cost,65
p16045,bin1,cap,1000
p16045,bin2,cost,200
p16045,bin2,cap,2000
p16045,bin3,cost,2000
p16045,bin3,cap,20000
p16047,bin1,cost,65
p16047,bin1,cap,1000
p16047,bin2,cost,200
p16047,bin2,cap,2000
p16047,bin3,cost,2000
p16047,bin3,cap,20000
p16049,bin1,cost,65
p16049,bin1,cap,1000
p16049,bin2,cost,200
p16049,bin2,cap,2000
p16049,bin3,cost,2000
p16049,bin3,cap,20000
p16053,bin1,cost,65
