*r,rtscbin,sc_cat,value
p32,bin3,cap,20000
p33,bin1,cost,65
p33,bin1,cap,1000
p33,bin2,cost,200
p33,bin2,cap,2000
p33,bin3,cost,2000
p33,bin3,cap,20000
p34,bin1,cost,65
p34,bin1,cap,1000
p34,bin2,cost,200
p34,bin2,cap,2000
p34,bin3,cost,2000
p34,bin3,cap,20000
p35,bin1,cost,65
p35,bin1,cap,1000
p35,bin2,cost,200
p35,bin2,cap,2000
p35,bin3,cost,2000
p35,bin3,cap,20000
p36,bin1,cost,65
p36,bin1,cap,1000
p36,bin2,cost,200
p36,bin2,cap,2000
p36,bin3,cost,2000
p36,bin3,cap,20000
p37,bin1,cost,65
p37,bin1,cap,1000
p37,bin2,cost,200
p37,bin2,cap,2000
p37,bin3,cost,2000
p37,bin3,cap,20000
p38,bin1,cost,65
p38,bin1,cap,1000
p38,bin2,cost,200
p38,bin2,cap,2000
p38,bin3,cost,2000
p38,bin3,cap,20000
p39,bin1,cost,65
p39,bin1,cap,1000
p39,bin2,cost,200
p39,bin2,cap,2000
p39,bin3,cost,2000
p39,bin3,cap,20000
p40,bin1,cost,65
p40,bin1,cap,1000
p40,bin2,cost,200
p40,bin2,cap,2000
p40,bin3,cost,2000
p40,bin3,cap,20000
p41,bin1,cost,65
p41,bin1,cap,1000
p41,bin2,cost,200
p41,bin2,cap,2000
p41,bin3,cost,2000
p41,bin3,cap,20000
p42,bin1,cost,65
p42,bin1,cap,1000
p42,bin2,cost,200
p42,bin2,cap,2000
p42,bin3,cost,2000
p42,bin3,cap,20000
p43,bin1,cost,65
p43,bin1,cap,1000
p43,bin2,cost,200
p43,bin2,cap,2000
p43,bin3,cost,2000
p43,bin3,cap,20000
p44,bin1,cost,65
p44,bin1,cap,1000
p44,bin2,cost,200
p44,bin2,cap,2000
p44,bin3,cost,2000
p44,bin3,cap,20000
p47,bin1,cost,65
p47,bin1,cap,1000
p47,bin2,cost,200
p47,bin2,cap,2000
p47,bin3,cost,2000
p47,bin3,cap,20000
p48,bin1,cost,65
p48,bin1,cap,1000
p48,bin2,cost,200
p48,bin2,cap,2000
p48,bin3,cost,2000
p48,bin3,cap,20000
p49,bin1,cost,65
p49,bin1,cap,1000
p49,bin2,cost,200
p49,bin2,cap,2000
p49,bin3,cost,2000
p49,bin3,cap,20000
p50,bin1,cost,65
p50,bin1,cap,1000
p50,bin2,cost,200
p50,bin2,cap,2000
p50,bin3,cost,2000
p50,bin3,cap,20000
p51,bin1,cost,65
p51,bin1,cap,1000
p51,bin2,cost,200
p51,bin2,cap,2000
p51,bin3,cost,2000
p51,bin3,cap,20000
p52,bin1,cost,65
p52,bin1,cap,1000
p52,bin2,cost,200
p52,bin2,cap,2000
p52,bin3,cost,2000
p52,bin3,cap,20000
p53,bin1,cost,65
p53,bin1,cap,1000
p53,bin2,cost,200
p53,bin2,cap,2000
p53,bin3,cost,2000
p53,bin3,cap,20000
p54,bin1,cost,65
p54,bin1,cap,1000
p54,bin2,cost,200
p54,bin2,cap,2000
p54,bin3,cost,2000
p54,bin3,cap,20000
p55,bin1,cost,65
p55,bin1,cap,1000
p55,bin2,cost,200
p55,bin2,cap,2000
p55,bin3,cost,2000
p55,bin3,cap,20000
p56,bin1,cost,65
p56,bin1,cap,1000
p56,bin2,cost,200
p56,bin2,cap,2000
p56,bin3,cost,2000
p56,bin3,cap,20000
p57,bin1,cost,65
p57,bin1,cap,1000
p57,bin2,cost,200
p57,bin2,cap,2000
p57,bin3,cost,2000
p57,bin3,cap,20000
p58,bin1,cost,65
p58,bin1,cap,1000
p58,bin2,cost,200
p58,bin2,cap,2000
p58,bin3,cost,2000
p58,bin3,cap,20000
p59,bin1,cost,65
p59,bin1,cap,1000
p59,bin2,cost,200
p59,bin2,cap,2000
p59,bin3,cost,2000
p59,bin3,cap,20000
p60,bin1,cost,65
p60,bin1,cap,1000
p60,bin2,cost,200
p60,bin2,cap,2000
p60,bin3,cost,2000
p60,bin3,cap,20000
p61,bin1,cost,65
p61,bin1,cap,1000
p61,bin2,cost,200
p61,bin2,cap,2000
p61,bin3,cost,2000
p61,bin3,cap,20000
p62,bin1,cost,65
p62,bin1,cap,1000
p62,bin2,cost,200
p62,bin2,cap,2000
p62,bin3,cost,2000
p62,bin3,cap,20000
p63,bin1,cost,65
p63,bin1,cap,1000
p63,bin2,cost,200
p63,bin2,cap,2000
p63,bin3,cost,2000
p63,bin3,cap,20000
p64,bin1,cost,65
p64,bin1,cap,1000
p64,bin2,cost,200
p64,bin2,cap,2000
p64,bin3,cost,2000
p64,bin3,cap,20000
p65,bin1,cost,65
p65,bin1,cap,1000
p65,bin2,cost,200
p65,bin2,cap,2000
p65,bin3,cost,2000
p65,bin3,cap,20000
p66,bin1,cost,65
p66,bin1,cap,1000
p66,bin2,cost,200
p66,bin2,cap,2000
p66,bin3,cost,2000
p66,bin3,cap,20000
p67,bin1,cost,65
p67,bin1,cap,1000
p67,bin2,cost,200
p67,bin2,cap,2000
p67,bin3,cost,2000
p67,bin3,cap,20000
p68,bin1,cost,65
p68,bin1,cap,1000
p68,bin2,cost,200
p68,bin2,cap,2000
p68,bin3,cost,2000
p68,bin3,cap,20000
p71,bin1,cost,65
p71,bin1,cap,1000
p71,bin2,cost,200
p71,bin2,cap,2000
p71,bin3,cost,2000
p71,bin3,cap,20000
p72,bin1,cost,65
p72,bin1,cap,1000
p72,bin2,cost,200
p72,bin2,cap,2000
p72,bin3,cost,2000
p72,bin3,cap,20000
p73,bin1,cost,65
p73,bin1,cap,1000
p73,bin2,cost,200
p73,bin2,cap,2000
p73,bin3,cost,2000
p73,bin3,cap,20000
p84,bin1,cost,65
p84,bin1,cap,1000
p84,bin2,cost,200
p84,bin2,cap,2000
p84,bin3,cost,2000
p84,bin3,cap,20000
p85,bin1,cost,65
p85,bin1,cap,1000
p85,bin2,cost,200
p85,bin2,cap,2000
p85,bin3,cost,2000
p85,bin3,cap,20000
p86,bin1,cost,65
p86,bin1,cap,1000
p86,bin2,cost,200
p86,bin2,cap,2000
p86,bin3,cost,2000
p86,bin3,cap,20000
p87,bin1,cost,65
p87,bin1,cap,1000
p87,bin2,cost,200
p87,bin2,cap,2000
p87,bin3,cost,2000
p87,bin3,cap,20000
p88,bin1,cost,65
p88,bin1,cap,1000
p88,bin2,cost,200
p88,bin2,cap,2000
p88,bin3,cost,2000
p88,bin3,cap,20000
p89,bin1,cost,65
p89,bin1,cap,1000
p89,bin2,cost,200
p89,bin2,cap,2000
p89,bin3,cost,2000
p89,bin3,cap,20000
p90,bin1,cost,65
p90,bin1,cap,1000
p90,bin2,cost,200
p90,bin2,cap,2000
p90,bin3,cost,2000
p90,bin3,cap,20000
p91,bin1,cost,65
p91,bin1,cap,1000
p91,bin2,cost,200
p91,bin2,cap,2000
p91,bin3,cost,2000
p91,bin3,cap,20000
p94,bin1,cost,65
p94,bin1,cap,1000
p94,bin2,cost,200
p94,bin2,cap,2000
p94,bin3,cost,2000
p94,bin3,cap,20000
p95,bin1,cost,65
p95,bin1,cap,1000
p95,bin2,cost,200
p95,bin2,cap,2000
p95,bin3,cost,2000
p95,bin3,cap,20000
p96,bin1,cost,65
p96,bin1,cap,1000
p96,bin2,cost,200
p96,bin2,cap,2000
p96,bin3,cost,2000
p96,bin3,cap,20000
p101,bin1,cost,65
p101,bin1,cap,1000
p101,bin2,cost,200
p101,bin2,cap,2000
p101,bin3,cost,2000
p101,bin3,cap,20000
p102,bin1,cost,65
p102,bin1,cap,1000
p102,bin2,cost,200
p102,bin2,cap,2000
p102,bin3,cost,2000
p102,bin3,cap,20000
p129,bin1,cost,65
p129,bin1,cap,1000
p129,bin2,cost,200
p129,bin2,cap,2000
p129,bin3,cost,2000
p129,bin3,cap,20000
p130,bin1,cost,65
p130,bin1,cap,1000
p130,bin2,cost,200
p130,bin2,cap,2000
p130,bin3,cost,2000
p130,bin3,cap,20000
p131,bin1,cost,65
p131,bin1,cap,1000
p131,bin2,cost,200
p131,bin2,cap,2000
p131,bin3,cost,2000
p131,bin3,cap,20000
p132,bin1,cost,65
p132,bin1,cap,1000
p132,bin2,cost,200
p132,bin2,cap,2000
p132,bin3,cost,2000
p132,bin3,cap,20000
p133,bin1,cost,65
p133,bin1,cap,1000
p133,bin2,cost,200
p133,bin2,cap,2000
p133,bin3,cost,2000
p133,bin3,cap,20000
p134,bin1,cost,65
p134,bin1,cap,1000
p134,bin2,cost,200
p134,bin2,cap,2000
p134,bin3,cost,2000
p134,bin3,cap,20000
p10001,bin1,cost,65
p10001,bin1,cap,1000
p10001,bin2,cost,200
p10001,bin2,cap,2000
p10001,bin3,cost,2000
p10001,bin3,cap,20000
p10003,bin1,cost,65
p10003,bin1,cap,1000
p10003,bin2,cost,200
p10003,bin2,cap,2000
p10003,bin3,cost,2000
p10003,bin3,cap,20000
p10005,bin1,cost,65
p10005,bin1,cap,1000
p10005,bin2,cost,200
p10005,bin2,cap,2000
p10005,bin3,cost,2000
p10005,bin3,cap,20000
p11001,bin1,cost,65
p11001,bin1,cap,1000
p11001,bin2,cost,200
p11001,bin2,cap,2000
p11001,bin3,cost,2000
p11001,bin3,cap,20000
p17001,bin1,cost,65
p17001,bin1,cap,1000
p17001,bin2,cost,200
p17001,bin2,cap,2000
p17001,bin3,cost,2000
p17001,bin3,cap,20000
p17003,bin1,cost,65
p17003,bin1,cap,1000
p17003,bin2,cost,200
p17003,bin2,cap,2000
p17003,bin3,cost,2000
p17003,bin3,cap,20000
p17005,bin1,cost,65
p17005,bin1,cap,1000
p17005,bin2,cost,200
p17005,bin2,cap,2000
p17005,bin3,cost,2000
p17005,bin3,cap,20000
p17007,bin1,cost,65
p17007,bin1,cap,1000
p17007,bin2,cost,200
p17007,bin2,cap,2000
p17007,bin3,cost,2000
p17007,bin3,cap,20000
p17009,bin1,cost,65
p17009,bin1,cap,1000
p17009,bin2,cost,200
p17009,bin2,cap,2000
p17009,bin3,cost,2000
p17009,bin3,cap,20000
p17011,bin1,cost,65
p17011,bin1,cap,1000
p17011,bin2,cost,200
p17011,bin2,cap,2000
p17011,bin3,cost,2000
p17011,bin3,cap,20000
p17013,bin1,cost,65
p17013,bin1,cap,1000
p17013,bin2,cost,200
p17013,bin2,cap,2000
p17013,bin3,cost,2000
p17013,bin3,cap,20000
p17015,bin1,cost,65
p17015,bin1,cap,1000
p17015,bin2,cost,200
p17015,bin2,cap,2000
p17015,bin3,cost,2000
p17015,bin3,cap,20000
p17017,bin1,cost,65
p17017,bin1,cap,1000
p17017,bin2,cost,200
p17017,bin2,cap,2000
p17017,bin3,cost,2000
p17017,bin3,cap,20000
p17019,bin1,cost,65
p17019,bin1,cap,1000
p17019,bin2,cost,200
p17019,bin2,cap,2000
p17019,bin3,cost,2000
p17019,bin3,cap,20000
p17021,bin1,cost,65
p17021,bin1,cap,1000
p17021,bin2,cost,200
p17021,bin2,cap,2000
p17021,bin3,cost,2000
p17021,bin3,cap,20000
p17023,bin1,cost,65
p17023,bin1,cap,1000
p17023,bin2,cost,200
p17023,bin2,cap,2000
p17023,bin3,cost,2000
p17023,bin3,cap,20000
p17025,bin1,cost,65
p17025,bin1,cap,1000
p17025,bin2,cost,200
p17025,bin2,cap,2000
p17025,bin3,cost,2000
p17025,bin3,cap,20000
p17027,bin1,cost,65
p17027,bin1,cap,1000
p17027,bin2,cost,200
p17027,bin2,cap,2000
p17027,bin3,cost,2000
p17027,bin3,cap,20000
p17029,bin1,cost,65
p17029,bin1,cap,1000
p17029,bin2,cost,200
p17029,bin2,cap,2000
p17029,bin3,cost,2000
p17029,bin3,cap,20000
p17031,bin1,cost,65
p17031,bin1,cap,1000
p17031,bin2,cost,200
p17031,bin2,cap,2000
p17031,bin3,cost,2000
p17031,bin3,cap,20000
p17033,bin1,cost,65
p17033,bin1,cap,1000
p17033,bin2,cost,200
p17033,bin2,cap,2000
p17033,bin3,cost,2000
p17033,bin3,cap,20000
p17035,bin1,cost,65
p17035,bin1,cap,1000
p17035,bin2,cost,200
p17035,bin2,cap,2000
p17035,bin3,cost,2000
p17035,bin3,cap,20000
p17037,bin1,cost,65
p17037,bin1,cap,1000
p17037,bin2,cost,200
p17037,bin2,cap,2000
p17037,bin3,cost,2000
p17037,bin3,cap,20000
p17039,bin1,cost,65
p17039,bin1,cap,1000
p17039,bin2,cost,200
p17039,bin2,cap,2000
p17039,bin3,cost,2000
p17039,bin3,cap,20000
p17041,bin1,cost,65
p17041,bin1,cap,1000
p17041,bin2,cost,200
p17041,bin2,cap,2000
p17041,bin3,cost,2000
p17041,bin3,cap,20000
p17043,bin1,cost,65
p17043,bin1,cap,1000
p17043,bin2,cost,200
p17043,bin2,cap,2000
p17043,bin3,cost,2000
p17043,bin3,cap,20000
p17045,bin1,cost,65
p17045,bin1,cap,1000
p17045,bin2,cost,200
p17045,bin2,cap,2000
p17045,bin3,cost,2000
p17045,bin3,cap,20000
p17047,bin1,cost,65
p17047,bin1,cap,1000
p17047,bin2,cost,200
p17047,bin2,cap,2000
p17047,bin3,cost,2000
p17047,bin3,cap,20000
p17049,bin1,cost,65
p17049,bin1,cap,1000
p17049,bin2,cost,200
p17049,bin2,cap,2000
p17049,bin3,cost,2000
p17049,bin3,cap,20000
p17051,bin1,cost,65
p17051,bin1,cap,1000
p17051,bin2,cost,200
p17051,bin2,cap,2000
p17051,bin3,cost,2000
p17051,bin3,cap,20000
p17053,bin1,cost,65
p17053,bin1,cap,1000
p17053,bin2,cost,200
p17053,bin2,cap,2000
p17053,bin3,cost,2000
p17053,bin3,cap,20000
p17055,bin1,cost,65
p17055,bin1,cap,1000
p17055,bin2,cost,200
p17055,bin2,cap,2000
p17055,bin3,cost,2000
p17055,bin3,cap,20000
p17057,bin1,cost,65
p17057,bin1,cap,1000
p17057,bin2,cost,200
p17057,bin2,cap,2000
p17057,bin3,cost,2000
p17057,bin3,cap,20000
p17059,bin1,cost,65
p17059,bin1,cap,1000
p17059,bin2,cost,200
p17059,bin2,cap,2000
p17059,bin3,cost,2000
p17059,bin3,cap,20000
p17061,bin1,cost,65
p17061,bin1,cap,1000
p17061,bin2,cost,200
p17061,bin2,cap,2000
p17061,bin3,cost,2000
p17061,bin3,cap,20000
p17063,bin1,cost,65
p17063,bin1,cap,1000
p17063,bin2,cost,200
p17063,bin2,cap,2000
p17063,bin3,cost,2000
p17063,bin3,cap,20000
p17065,bin1,cost,65
p17065,bin1,cap,1000
p17065,bin2,cost,200
p17065,bin2,cap,2000
p17065,bin3,cost,2000
p17065,bin3,cap,20000
p17067,bin1,cost,65
p17067,bin1,cap,1000
p17067,bin2,cost,200
p17067,bin2,cap,2000
p17067,bin3,cost,2000
p17067,bin3,cap,20000
p17069,bin1,cost,65
p17069,bin1,cap,1000
p17069,bin2,cost,200
p17069,bin2,cap,2000
p17069,bin3,cost,2000
p17069,bin3,cap,20000
p17071,bin1,cost,65
p17071,bin1,cap,1000
p17071,bin2,cost,200
p17071,bin2,cap,2000
p17071,bin3,cost,2000
p17071,bin3,cap,20000
p17073,bin1,cost,65
p17073,bin1,cap,1000
p17073,bin2,cost,200
p17073,bin2,cap,2000
p17073,bin3,cost,2000
p17073,bin3,cap,20000
p17075,bin1,cost,65
p17075,bin1,cap,1000
p17075,bin2,cost,200
p17075,bin2,cap,2000
p17075,bin3,cost,2000
p17075,bin3,cap,20000
p17077,bin1,cost,65
p17077,bin1,cap,1000
p17077,bin2,cost,200
p17077,bin2,cap,2000
p17077,bin3,cost,2000
p17077,bin3,cap,20000
p17079,bin1,cost,65
p17079,bin1,cap,1000
p17079,bin2,cost,200
p17079,bin2,cap,2000
p17079,bin3,cost,2000
p17079,bin3,cap,20000
p17081,bin1,cost,65
p17081,bin1,cap,1000
p17081,bin2,cost,200
p17081,bin2,cap,2000
p17081,bin3,cost,2000
p17081,bin3,cap,20000
p17083,bin1,cost,65
p17083,bin1,cap,1000
p17083,bin2,cost,200
p17083,bin2,cap,2000
p17083,bin3,cost,2000
p17083,bin3,cap,20000
p17085,bin1,cost,65
p17085,bin1,cap,1000
p17085,bin2,cost,200
p17085,bin2,cap,2000
p17085,bin3,cost,2000
p17085,bin3,cap,20000
p17087,bin1,cost,65
p17087,bin1,cap,1000
p17087,bin2,cost,200
p17087,bin2,cap,2000
p17087,bin3,cost,2000
p17087,bin3,cap,20000
p17089,bin1,cost,65
p17089,bin1,cap,1000
p17089,bin2,cost,200
p17089,bin2,cap,2000
p17089,bin3,cost,2000
p17089,bin3,cap,20000
p17091,bin1,cost,65
p17091,bin1,cap,1000
p17091,bin2,cost,200
p17091,bin2,cap,2000
p17091,bin3,cost,2000
p17091,bin3,cap,20000
p17093,bin1,cost,65
p17093,bin1,cap,1000
p17093,bin2,cost,200
p17093,bin2,cap,2000
p17093,bin3,cost,2000
p17093,bin3,cap,20000
p17095,bin1,cost,65
p17095,bin1,cap,1000
p17095,bin2,cost,200
p17095,bin2,cap,2000
p17095,bin3,cost,2000
p17095,bin3,cap,20000
p17097,bin1,cost,65
p17097,bin1,cap,1000
p17097,bin2,cost,200
p17097,bin2,cap,2000
p17097,bin3,cost,2000
p17097,bin3,cap,20000
p17099,bin1,cost,65
p17099,bin1,cap,1000
p17099,bin2,cost,200
p17099,bin2,cap,2000
p17099,bin3,cost,2000
p17099,bin3,cap,20000
p17101,bin1,cost,65
p17101,bin1,cap,1000
p17101,bin2,cost,200
p17101,bin2,cap,2000
p17101,bin3,cost,2000
p17101,bin3,cap,20000
p17103,bin1,cost,65
p17103,bin1,cap,1000
p17103,bin2,cost,200
p17103,bin2,cap,2000
p17103,bin3,cost,2000
p17103,bin3,cap,20000
p17105,bin1,cost,65
p17105,bin1,cap,1000
p17105,bin2,cost,200
p17105,bin2,cap,2000
p17105,bin3,cost,2000
p17105,bin3,cap,20000
p17107,bin1,cost,65
p17107,bin1,cap,1000
p17107,bin2,cost,200
p17107,bin2,cap,2000
p17107,bin3,cost,2000
p17107,bin3,cap,20000
p17109,bin1,cost,65
p17109,bin1,cap,1000
p17109,bin2,cost,200
p17109,bin2,cap,2000
p17109,bin3,cost,2000
p17109,bin3,cap,20000
p17111,bin1,cost,65
p17111,bin1,cap,1000
p17111,bin2,cost,200
p17111,bin2,cap,2000
p17111,bin3,cost,2000
p17111,bin3,cap,20000
p17113,bin1,cost,65
p17113,bin1,cap,1000
p17113,bin2,cost,200
p17113,bin2,cap,2000
p17113,bin3,cost,2000
p17113,bin3,cap,20000
p17115,bin1,cost,65
p17115,bin1,cap,1000
p17115,bin2,cost,200
p17115,bin2,cap,2000
p17115,bin3,cost,2000
p17115,bin3,cap,20000
p17117,bin1,cost,65
p17117,bin1,cap,1000
p17117,bin2,cost,200
p17117,bin2,cap,2000
p17117,bin3,cost,2000
p17117,bin3,cap,20000
p17119,bin1,cost,65
p17119,bin1,cap,1000
p17119,bin2,cost,200
p17119,bin2,cap,2000
p17119,bin3,cost,2000
p17119,bin3,cap,20000
p17121,bin1,cost,65
p17121,bin1,cap,1000
p17121,bin2,cost,200
p17121,bin2,cap,2000
p17121,bin3,cost,2000
p17121,bin3,cap,20000
p17123,bin1,cost,65
p17123,bin1,cap,1000
p17123,bin2,cost,200
p17123,bin2,cap,2000
p17123,bin3,cost,2000
p17123,bin3,cap,20000
p17125,bin1,cost,65
p17125,bin1,cap,1000
p17125,bin2,cost,200
p17125,bin2,cap,2000
p17125,bin3,cost,2000
p17125,bin3,cap,20000
p17127,bin1,cost,65
p17127,bin1,cap,1000
p17127,bin2,cost,200
p17127,bin2,cap,2000
p17127,bin3,cost,2000
p17127,bin3,cap,20000
p17129,bin1,cost,65
p17129,bin1,cap,1000
p17129,bin2,cost,200
p17129,bin2,cap,2000
p17129,bin3,cost,2000
p17129,bin3,cap,20000
p17131,bin1,cost,65
p17131,bin1,cap,1000
p17131,bin2,cost,200
p17131,bin2,cap,2000
p17131,bin3,cost,2000
p17131,bin3,cap,20000
p17133,bin1,cost,65
p17133,bin1,cap,1000
p17133,bin2,cost,200
p17133,bin2,cap,2000
p17133,bin3,cost,2000
p17133,bin3,cap,20000
p17135,bin1,cost,65
p17135,bin1,cap,1000
p17135,bin2,cost,200
p17135,bin2,cap,2000
p17135,bin3,cost,2000
p17135,bin3,cap,20000
p17137,bin1,cost,65
p17137,bin1,cap,1000
p17137,bin2,cost,200
p17137,bin2,cap,2000
p17137,bin3,cost,2000
p17137,bin3,cap,20000
p17139,bin1,cost,65
p17139,bin1,cap,1000
p17139,bin2,cost,200
p17139,bin2,cap,2000
p17139,bin3,cost,2000
p17139,bin3,cap,20000
p17141,bin1,cost,65
p17141,bin1,cap,1000
p17141,bin2,cost,200
p17141,bin2,cap,2000
p17141,bin3,cost,2000
p17141,bin3,cap,20000
p17143,bin1,cost,65
p17143,bin1,cap,1000
p17143,bin2,cost,200
p17143,bin2,cap,2000
p17143,bin3,cost,2000
p17143,bin3,cap,20000
p17145,bin1,cost,65
p17145,bin1,cap,1000
p17145,bin2,cost,200
p17145,bin2,cap,2000
p17145,bin3,cost,2000
p17145,bin3,cap,20000
p17147,bin1,cost,65
p17147,bin1,cap,1000
p17147,bin2,cost,200
p17147,bin2,cap,2000
p17147,bin3,cost,2000
p17147,bin3,cap,20000
p17149,bin1,cost,65
p17149,bin1,cap,1000
p17149,bin2,cost,200
p17149,bin2,cap,2000
p17149,bin3,cost,2000
p17149,bin3,cap,20000
p17151,bin1,cost,65
p17151,bin1,cap,1000
p17151,bin2,cost,200
p17151,bin2,cap,2000
p17151,bin3,cost,2000
p17151,bin3,cap,20000
p17153,bin1,cost,65
p17153,bin1,cap,1000
p17153,bin2,cost,200
p17153,bin2,cap,2000
p17153,bin3,cost,2000
p17153,bin3,cap,20000
p17155,bin1,cost,65
p17155,bin1,cap,1000
p17155,bin2,cost,200
p17155,bin2,cap,2000
p17155,bin3,cost,2000
p17155,bin3,cap,20000
p17157,bin1,cost,65
p17157,bin1,cap,1000
p17157,bin2,cost,200
p17157,bin2,cap,2000
p17157,bin3,cost,2000
p17157,bin3,cap,20000
p17159,bin1,cost,65
p17159,bin1,cap,1000
p17159,bin2,cost,200
p17159,bin2,cap,2000
p17159,bin3,cost,2000
p17159,bin3,cap,20000
p17161,bin1,cost,65
p17161,bin1,cap,1000
p17161,bin2,cost,200
p17161,bin2,cap,2000
p17161,bin3,cost,2000
p17161,bin3,cap,20000
p17163,bin1,cost,65
p17163,bin1,cap,1000
p17163,bin2,cost,200
p17163,bin2,cap,2000
p17163,bin3,cost,2000
p17163,bin3,cap,20000
p17165,bin1,cost,65
p17165,bin1,cap,1000
p17165,bin2,cost,200
p17165,bin2,cap,2000
p17165,bin3,cost,2000
p17165,bin3,cap,20000
p17167,bin1,cost,65
p17167,bin1,cap,1000
p17167,bin2,cost,200
p17167,bin2,cap,2000
p17167,bin3,cost,2000
p17167,bin3,cap,20000
p17169,bin1,cost,65
p17169,bin1,cap,1000
p17169,bin2,cost,200
p17169,bin2,cap,2000
